week,agegroup,sex,deaths-involving-covid-19-occurrences,deaths-involving-covid-19-registrations,total-registered-deaths
week-1,all,all,0,0,12254
week-1,all,female,,,
week-1,all,male,,,
week-1,0-1,all,0,0,48
week-1,0-1,female,0,0,18
week-1,0-1,male,0,0,30
week-1,1-4,all,0,0,8
week-1,1-4,female,0,0,3
week-1,1-4,male,0,0,5
week-1,5-9,all,0,0,4
week-1,5-9,female,0,0,2
week-1,5-9,male,0,0,2
week-1,10-14,all,0,0,4
week-1,10-14,female,0,0,3
week-1,10-14,male,0,0,1
week-1,15-19,all,0,0,6
week-1,15-19,female,0,0,1
week-1,15-19,male,0,0,5
week-1,20-24,all,0,0,11
week-1,20-24,female,0,0,4
week-1,20-24,male,0,0,7
week-1,25-29,all,0,0,17
week-1,25-29,female,0,0,10
week-1,25-29,male,0,0,7
week-1,30-34,all,0,0,32
week-1,30-34,female,0,0,11
week-1,30-34,male,0,0,21
week-1,35-39,all,0,0,54
week-1,35-39,female,0,0,22
week-1,35-39,male,0,0,32
week-1,40-44,all,0,0,69
week-1,40-44,female,0,0,26
week-1,40-44,male,0,0,43
week-1,45-49,all,0,0,115
week-1,45-49,female,0,0,53
week-1,45-49,male,0,0,62
week-1,50-54,all,0,0,239
week-1,50-54,female,0,0,102
week-1,50-54,male,0,0,137
week-1,55-59,all,0,0,361
week-1,55-59,female,0,0,170
week-1,55-59,male,0,0,191
week-1,60-64,all,0,0,486
week-1,60-64,female,0,0,211
week-1,60-64,male,0,0,275
week-1,65-69,all,0,0,696
week-1,65-69,female,0,0,281
week-1,65-69,male,0,0,415
week-1,70-74,all,0,0,1164
week-1,70-74,female,0,0,467
week-1,70-74,male,0,0,697
week-1,75-79,all,0,0,1535
week-1,75-79,female,0,0,709
week-1,75-79,male,0,0,826
week-1,80-84,all,0,0,2049
week-1,80-84,female,0,0,996
week-1,80-84,male,0,0,1053
week-1,85-89,all,0,0,2457
week-1,85-89,female,0,0,1359
week-1,85-89,male,0,0,1098
week-1,90+,all,0,0,2898
week-1,90+,female,0,0,1916
week-1,90+,male,0,0,982
week-2,all,all,0,0,14058
week-2,all,female,,,
week-2,all,male,,,
week-2,0-1,all,0,0,50
week-2,0-1,female,0,0,21
week-2,0-1,male,0,0,29
week-2,1-4,all,0,0,9
week-2,1-4,female,0,0,5
week-2,1-4,male,0,0,4
week-2,5-9,all,0,0,8
week-2,5-9,female,0,0,4
week-2,5-9,male,0,0,4
week-2,10-14,all,0,0,9
week-2,10-14,female,0,0,2
week-2,10-14,male,0,0,7
week-2,15-19,all,0,0,16
week-2,15-19,female,0,0,8
week-2,15-19,male,0,0,8
week-2,20-24,all,0,0,23
week-2,20-24,female,0,0,9
week-2,20-24,male,0,0,14
week-2,25-29,all,0,0,37
week-2,25-29,female,0,0,9
week-2,25-29,male,0,0,28
week-2,30-34,all,0,0,46
week-2,30-34,female,0,0,18
week-2,30-34,male,0,0,28
week-2,35-39,all,0,0,68
week-2,35-39,female,0,0,22
week-2,35-39,male,0,0,46
week-2,40-44,all,0,0,85
week-2,40-44,female,0,0,33
week-2,40-44,male,0,0,52
week-2,45-49,all,0,0,191
week-2,45-49,female,0,0,77
week-2,45-49,male,0,0,114
week-2,50-54,all,0,0,279
week-2,50-54,female,0,0,123
week-2,50-54,male,0,0,156
week-2,55-59,all,0,0,426
week-2,55-59,female,0,0,167
week-2,55-59,male,0,0,259
week-2,60-64,all,0,0,604
week-2,60-64,female,0,0,249
week-2,60-64,male,0,0,355
week-2,65-69,all,0,0,857
week-2,65-69,female,0,0,348
week-2,65-69,male,0,0,509
week-2,70-74,all,0,0,1341
week-2,70-74,female,0,0,580
week-2,70-74,male,0,0,761
week-2,75-79,all,0,0,1724
week-2,75-79,female,0,0,800
week-2,75-79,male,0,0,924
week-2,80-84,all,0,0,2290
week-2,80-84,female,0,0,1118
week-2,80-84,male,0,0,1172
week-2,85-89,all,0,0,2697
week-2,85-89,female,0,0,1466
week-2,85-89,male,0,0,1231
week-2,90+,all,0,0,3297
week-2,90+,female,0,0,2170
week-2,90+,male,0,0,1127
week-3,all,all,0,0,12990
week-3,all,female,,,
week-3,all,male,,,
week-3,0-1,all,0,0,69
week-3,0-1,female,0,0,31
week-3,0-1,male,0,0,38
week-3,1-4,all,0,0,7
week-3,1-4,female,0,0,3
week-3,1-4,male,0,0,4
week-3,5-9,all,0,0,5
week-3,5-9,female,0,0,1
week-3,5-9,male,0,0,4
week-3,10-14,all,0,0,4
week-3,10-14,female,0,0,1
week-3,10-14,male,0,0,3
week-3,15-19,all,0,0,10
week-3,15-19,female,0,0,5
week-3,15-19,male,0,0,5
week-3,20-24,all,0,0,25
week-3,20-24,female,0,0,4
week-3,20-24,male,0,0,21
week-3,25-29,all,0,0,37
week-3,25-29,female,0,0,6
week-3,25-29,male,0,0,31
week-3,30-34,all,0,0,47
week-3,30-34,female,0,0,18
week-3,30-34,male,0,0,29
week-3,35-39,all,0,0,77
week-3,35-39,female,0,0,28
week-3,35-39,male,0,0,49
week-3,40-44,all,0,0,118
week-3,40-44,female,0,0,46
week-3,40-44,male,0,0,72
week-3,45-49,all,0,0,189
week-3,45-49,female,0,0,83
week-3,45-49,male,0,0,106
week-3,50-54,all,0,0,306
week-3,50-54,female,0,0,106
week-3,50-54,male,0,0,200
week-3,55-59,all,0,0,461
week-3,55-59,female,0,0,166
week-3,55-59,male,0,0,295
week-3,60-64,all,0,0,562
week-3,60-64,female,0,0,224
week-3,60-64,male,0,0,338
week-3,65-69,all,0,0,803
week-3,65-69,female,0,0,332
week-3,65-69,male,0,0,471
week-3,70-74,all,0,0,1210
week-3,70-74,female,0,0,520
week-3,70-74,male,0,0,690
week-3,75-79,all,0,0,1612
week-3,75-79,female,0,0,726
week-3,75-79,male,0,0,886
week-3,80-84,all,0,0,2103
week-3,80-84,female,0,0,1023
week-3,80-84,male,0,0,1080
week-3,85-89,all,0,0,2421
week-3,85-89,female,0,0,1304
week-3,85-89,male,0,0,1117
week-3,90+,all,0,0,2924
week-3,90+,female,0,0,1933
week-3,90+,male,0,0,991
week-4,all,all,0,0,11856
week-4,all,female,,,
week-4,all,male,,,
week-4,0-1,all,0,0,53
week-4,0-1,female,0,0,25
