week,excess_deaths,2020,5_year_average,2019,2018,2017,2016,2015
1,54.0,12254.0,12200.0,10955,12723,11991,13045,12286
2,235.60000000000036,14058.0,13822.4,12609,15050,13715,11501,16237
3,-223.0,12990.0,13213.0,11860,14256,13610,11473,14866
4,-904.6000000000004,11856.0,12760.6,11740,13935,12877,11317,13934
5,-591.7999999999993,11612.0,12203.8,11297,13285,12485,11052,12900
6,-940.6000000000004,10986.0,11926.6,11660,12495,12269,11170,12039
7,-681.2000000000007,10944.0,11625.2,11824,12246,11644,10590,11822
8,-703.2000000000007,10841.0,11544.2,11295,12142,11794,11056,11434
9,-364.60000000000036,10816.0,11180.6,11044,10854,11248,11285,11472
10,-595.2000000000007,10895.0,11490.2,10898,12997,11077,11010,11469
11,-186.0,11019.0,11205.0,10567,12788,10697,11022,10951
12,76.39999999999964,10645.0,10568.6,10402,11913,10325,9635,10568
13,1018.2000000000007,11141.0,10122.8,9867,9941,10027,10286,10493
14,6083.0,16387.0,10304.0,10126,10794,9939,11599,9062
15,7997.799999999999,18516.0,10518.2,10291,12301,8493,11417,10089
16,11859.8,22351.0,10491.2,9025,11223,9644,10925,11639
17,11540.0,21997.0,10457.0,10059,10306,10908,10413,10599
18,,,9939.0,11207,10153,9064,9137,10134
19,,,9574.2,9055,8624,10693,10637,8862
20,,,10188.8,10272,10141,10288,9953,10290
21,,,9940.8,10284,9636,10040,9739,10005
22,,,8172.2,8260,8147,8332,7909,8213
23,,,9977.2,10140,9950,9766,9873,10157
24,,,9417.8,9445,9343,9367,9386,9548
25,,,9403.6,9458,9256,9627,9365,9312
26,,,9295.0,9511,9212,9334,9228,9190
27,,,9185.2,9062,9258,9263,9138,9205
28,,,9250.2,9179,9293,9376,9388,9015
29,,,9094.4,9080,9127,9113,9350,8802
30,,,9052.2,9112,9141,8882,9335,8791
31,,,9034.4,9271,9161,8941,9182,8617
32,,,9102.6,9122,9319,9038,9172,8862
33,,,9088.0,9093,8830,9299,9070,9148
34,,,9158.8,8994,8978,9382,9319,9121
35,,,8241.0,8242,7865,8149,7923,9026
36,,,9182.8,9695,9445,9497,9399,7878
37,,,9308.0,9513,9191,9454,9124,9258
38,,,9264.2,9440,9305,9534,8945,9097
39,,,9375.8,9517,9150,9689,8994,9529
40,,,9556.2,9799,9503,9778,9291,9410
41,,,9811.4,9973,9649,9940,9719,9776
42,,,9866.0,10156,9864,10031,9768,9511
43,,,9759.6,10021,9603,9739,9724,9711
44,,,9889.4,10164,9529,9984,10152,9618
45,,,10331.6,10697,10151,10346,10470,9994
46,,,10350.0,10650,10193,10275,10694,9938
47,,,10378.6,10882,9957,10621,10603,9830
48,,,10358.0,10958,10033,10538,10439,9822
49,,,10694.4,10816,10287,10781,11223,10365
50,,,10751.4,11188,10550,11217,10533,10269
51,,,11548.2,11926,11116,12517,11493,10689
52,,,7956.8,7533,7131,8487,8003,8630
53,,,,,,,,7524
